what,where,why,how,when,text,id
maintain,APT32,,,,APT32 has used Web shells to maintain access to victim websites., T1100 
installed,ANTAK ASPXSPY web shells,,,,APT39 has installed ANTAK and ASPXSPY web shells., T1100 
used,The ASPXTool version,,,,The ASPXTool version used by Threat Group-3390 has been deployed to accessible servers running Internet Information Services  ., T1100 
deployed,The ASPXTool version used Threat Group-3390,,,,The ASPXTool version used by Threat Group-3390 has been deployed to accessible servers running Internet Information Services  ., T1100 
accessible,servers,,,,The ASPXTool version used by Threat Group-3390 has been deployed to accessible servers running Internet Information Services  ., T1100 
running,Internet Information Services,,,,The ASPXTool version used by Threat Group-3390 has been deployed to accessible servers running Internet Information Services  ., T1100 
uses,Web shells publicly accessible Web servers,access victim networks,,,Deep Panda uses Web shells on publicly accessible Web servers to access victim networks., T1100 
shells,Web,,,,Deep Panda uses Web shells on publicly accessible Web servers to access victim networks., T1100 
access,victim networks,,,,Deep Panda uses Web shells on publicly accessible Web servers to access victim networks., T1100 
created,Web shells,,commonly,,"Dragonfly 2.0 commonly created Web shells on victims' publicly accessible email and web servers, which they used to maintain access to a victim network and download additional malicious files.", T1100 
used,victims ' publicly accessible email web servers,maintain access victim network download additional malicious files,,,"Dragonfly 2.0 commonly created Web shells on victims' publicly accessible email and web servers, which they used to maintain access to a victim network and download additional malicious files.", T1100 
maintain,access victim network,,,,"Dragonfly 2.0 commonly created Web shells on victims' publicly accessible email and web servers, which they used to maintain access to a victim network and download additional malicious files.", T1100 
download,,,,,"Dragonfly 2.0 commonly created Web shells on victims' publicly accessible email and web servers, which they used to maintain access to a victim network and download additional malicious files.", T1100 
relies,web shells,,,,Leviathan relies on web shells for an initial foothold as well as persistence into the victim's systems., T1100 
used,Web shells,often maintain access victim network,,,"OilRig has used Web shells, often to maintain access to a victim network.", T1100 
maintain,access victim network,,,,"OilRig has used Web shells, often to maintain access to a victim network.", T1100 
appears,exclusively used Threat Group-3390,,,,OwaAuth is a Web shell that appears to be exclusively used by Threat Group-3390., T1100 
used,,,exclusively,,OwaAuth is a Web shell that appears to be exclusively used by Threat Group-3390., T1100 
installed,It,,ISAPI filter,,It is installed as an ISAPI filter on Exchange servers and shares characteristics with the China Chopper Web shell., T1100 
used,Web shells,persist victim environments assist execution exfiltration,,,Soft Cell used Web shells to persist in victim environments and assist in execution and exfiltration., T1100 
persist,Soft Cell,,,,Soft Cell used Web shells to persist in victim environments and assist in execution and exfiltration., T1100 
,,,,,Soft Cell used Web shells to persist in victim environments and assist in execution and exfiltration., T1100 
planted,webshells,,,,TEMP.Veles has planted webshells on Outlook Exchange servers., T1100 
used,variety Web shells,,,,Threat Group-3390 has used a variety of Web shells., T1100 
copy,files,Windows Admin Shares,,,APT3 will copy files over to Windows Admin Shares   as part of lateral movement., T1077 
,,,,,APT3 will copy files over to Windows Admin Shares   as part of lateral movement., T1077 
used,Net,use Windows ' hidden network shares copy tools remote machines execution,,,APT32 used Net to use Windows' hidden network shares to copy their tools to remote machines for execution., T1077 
use,Windows ' hidden network shares,copy tools remote machines execution,,,APT32 used Net to use Windows' hidden network shares to copy their tools to remote machines for execution., T1077 
hidden,network shares,,,,APT32 used Net to use Windows' hidden network shares to copy their tools to remote machines for execution., T1077 
copy,tools,remote machines,,,APT32 used Net to use Windows' hidden network shares to copy their tools to remote machines for execution., T1077 
remote,machines,,,,APT32 used Net to use Windows' hidden network shares to copy their tools to remote machines for execution., T1077 
run,plug victim spread local network using PsExec accessing admin shares,,,,BlackEnergy has run a plug-in on a victim to spread through the local network by using PsExec and accessing admin shares., T1077 
spread,victim,,using PsExec accessing admin shares,,BlackEnergy has run a plug-in on a victim to spread through the local network by using PsExec and accessing admin shares., T1077 
using,PsExec,,,,BlackEnergy has run a plug-in on a victim to spread through the local network by using PsExec and accessing admin shares., T1077 
accessing,admin shares,,,,BlackEnergy has run a plug-in on a victim to spread through the local network by using PsExec and accessing admin shares., T1077 
use,Window admin shares,,,,Cobalt Strike can use Window admin shares   for lateral movement., T1077 
uses,net,connect network shares,,,Deep Panda uses net  to connect to network shares using net use commands with compromised credentials., T1077 
connect,network shares,,,,Deep Panda uses net  to connect to network shares using net use commands with compromised credentials., T1077 
using,Deep Panda,,,,Deep Panda uses net  to connect to network shares using net use commands with compromised credentials., T1077 
compromised,credentials,,,,Deep Panda uses net  to connect to network shares using net use commands with compromised credentials., T1077 
instruct,Duqu,spread laterally copying shares enumerated obtained legitimate credentials,,,Adversaries can instruct Duqu to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials  ., T1077 
spread,Duqu,,copying shares enumerated obtained legitimate credentials,,Adversaries can instruct Duqu to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials  ., T1077 
copying,Duqu,shares enumerated obtained legitimate credentials,,,Adversaries can instruct Duqu to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials  ., T1077 
enumerated,shares,,,,Adversaries can instruct Duqu to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials  ., T1077 
obtained,,,,,Adversaries can instruct Duqu to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials  ., T1077 
infected,The remote host,,using compromised credentials schedule task remote machines executes malware,,The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware., T1077 
using,compromised credentials,schedule task remote machines executes malware,,,The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware., T1077 
compromised,credentials,,,,The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware., T1077 
